Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
487500,GLORIETA DEL MARQUÉS DE VADILLO                                ,GLORIETA                ,DEL   ,MARQUES DE VADILLO                              ,468400,AVENIDA DEL MANZANARES                                         ,AVENIDA                 ,DEL   ,MANZANARES                                      ,43927556,447247963,3º43'0.71'' W   ,40º23'55.8'' N  
488500,GLORIETA DEL MARQUÉS DE ZAFRA                                  ,GLORIETA                ,DEL   ,MARQUES DE ZAFRA                                ,488600,PASEO DEL MARQUÉS DE ZAFRA                                     ,PASEO                   ,DEL   ,MARQUES DE ZAFRA                                ,44398573,447534038,3º39'41.82'' W  ,40º25'29.75'' N 
488500,GLORIETA DEL MARQUÉS DE ZAFRA                                  ,GLORIETA                ,DEL   ,MARQUES DE ZAFRA                                ,690100,CALLE DE SANCHO DÁVILA                                         ,CALLE                   ,DE    ,SANCHO DAVILA                                   ,44398573,447534038,3º39'41.82'' W  ,40º25'29.75'' N 
488500,GLORIETA DEL MARQUÉS DE ZAFRA                                  ,GLORIETA                ,DEL   ,MARQUES DE ZAFRA                                ,798900,CALLE DEL VIZCONDE DE MATAMALA                                 ,CALLE                   ,DEL   ,VIZCONDE DE MATAMALA                            ,44402450,447537361,3º39'40.18'' W  ,40º25'30.86'' N 
507500,GLORIETA DE MIGUEL RUBIALES                                    ,GLORIETA                ,DE    ,MIGUEL RUBIALES                                 ,154200,CALLE DE CASTILLA                                              ,CALLE                   ,DE    ,CASTILLA                                        ,44023413,447849688,3º42'22.11'' W  ,40º27'11.19'' N 
507500,GLORIETA DE MIGUEL RUBIALES                                    ,GLORIETA                ,DE    ,MIGUEL RUBIALES                                 ,442000,CALLE DE LORENZA CORREA                                        ,CALLE                   ,DE    ,LORENZA CORREA                                  ,44024249,447850864,3º42'21.73'' W  ,40º27'11.58'' N 
507500,GLORIETA DE MIGUEL RUBIALES                                    ,GLORIETA                ,DE    ,MIGUEL RUBIALES                                 ,738700,CALLE DE TENERIFE                                              ,CALLE                   ,DE    ,TENERIFE                                        ,44024128,447848791,3º42'21.81'' W  ,40º27'10.9'' N  
515400,GLORIETA DE LA MONTAÑA                                         ,GLORIETA                ,DE LA ,MONTAÑA                                         ,258200,CALLE DE EDUARDO TERÁN                                         ,CALLE                   ,DE    ,EDUARDO TERAN                                   ,44788204,447763839,3º36'57.17'' W  ,40º26'45.19'' N 
515400,GLORIETA DE LA MONTAÑA                                         ,GLORIETA                ,DE LA ,MONTAÑA                                         ,625700,CALLE DE RAFAEL DE LA HOZ                                      ,CALLE                   ,DE    ,RAFAEL DE LA HOZ                                ,44786435,447763684,3º36'57.93'' W  ,40º26'45.15'' N 
515400,GLORIETA DE LA MONTAÑA                                         ,GLORIETA                ,DE LA ,MONTAÑA                                         ,729900,CALLE DE SUÁREZ GARCÍA                                         ,CALLE                   ,DE    ,SUAREZ GARCIA                                   ,44786859,447765593,3º36'57.73'' W  ,40º26'45.77'' N 
584000,GLORIETA DE PÉREZ CIDÓN                                        ,GLORIETA                ,DE    ,PEREZ CIDON                                     ,338500,CALLE DE GOITIA                                                ,CALLE                   ,DE    ,GOITIA                                          ,44573925,447742501,3º38'28.07'' W  ,40º26'37.78'' N 
584000,GLORIETA DE PÉREZ CIDÓN                                        ,GLORIETA                ,DE    ,PEREZ CIDON                                     ,583900,CALLE DE PÉREZ CIDÓN                                           ,CALLE                   ,DE    ,PEREZ CIDON                                     ,44573937,447743648,3º38'28.08'' W  ,40º26'38.14'' N 
596500,GLORIETA DEL PINTOR SOROLLA                                    ,GLORIETA                ,DEL   ,PINTOR SOROLLA                                  ,261400,CALLE DE ELOY GONZALO                                          ,CALLE                   ,DE    ,ELOY GONZALO                                    ,44082546,447646733,3º41'56.3'' W   ,40º26'5.51'' N  
596500,GLORIETA DEL PINTOR SOROLLA                                    ,GLORIETA                ,DEL   ,PINTOR SOROLLA                                  ,331100,PASEO DEL GENERAL MARTÍNEZ CAMPOS                              ,PASEO                   ,DEL   ,GENERAL MARTINEZ CAMPOS                         ,44086212,447647664,3º41'54.77'' W  ,40º26'5.84'' N  
596500,GLORIETA DEL PINTOR SOROLLA                                    ,GLORIETA                ,DEL   ,PINTOR SOROLLA                                  ,694525,CALLE DE SANTA ENGRACIA                                        ,CALLE                   ,DE    ,SANTA ENGRACIA                                  ,44083742,447649300,3º41'55.8'' W   ,40º26'6.35'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,2900,PASEO DE LAS ACACIAS                                           ,PASEO                   ,DE LAS,ACACIAS                                         ,43954671,447271577,3º42'49.29'' W  ,40º24'3.53'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,23300,CALLE DE ALEJANDRO DUMAS                                       ,CALLE                   ,DE    ,ALEJANDRO DUMAS                                 ,43939708,447270345,3º42'55.65'' W  ,40º24'3.07'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,372200,PASEO IMPERIAL                                                 ,PASEO                   ,      ,IMPERIAL                                        ,43944912,447274947,3º42'53.46'' W  ,40º24'4.61'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,595100,PASEO DE LOS PINOS                                             ,PASEO                   ,DE LOS,PINOS                                           ,43951505,447264840,3º42'50.63'' W  ,40º24'1.31'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,743600,CALLE DE TOLEDO                                                ,CALLE                   ,DE    ,TOLEDO                                          ,43950393,447274624,3º42'51.13'' W  ,40º24'4.49'' N  
597700,GLORIETA DE LAS PIRÁMIDES                                      ,GLORIETA                ,DE LAS,PIRAMIDES                                       ,801200,PASEO DE LAS YESERÍAS                                          ,PASEO                   ,DE LAS,YESERIAS                                        ,43956284,447266407,3º42'48.6'' W   ,40º24'1.85'' N  
608500,GLORIETA DEL PRESIDENTE GARCÍA MORENO                          ,GLORIETA                ,DEL   ,PRESIDENTE GARCIA MORENO                        ,244950,CALLE DEL DOCTOR TEÓFILO HERNANDO ORTEGA                       ,CALLE                   ,DEL   ,DOCTOR TEOFILO HERNANDO ORTEGA                  ,43949264,447770010,3º42'53.29'' W  ,40º26'45.15'' N 
608500,GLORIETA DEL PRESIDENTE GARCÍA MORENO                          ,GLORIETA                ,DEL   ,PRESIDENTE GARCIA MORENO                        ,514000,AVENIDA DE LA MONCLOA                                          ,AVENIDA                 ,DE LA ,MONCLOA                                         ,43947645,447769564,3º42'53.97'' W  ,40º26'45.01'' N 
608500,GLORIETA DEL PRESIDENTE GARCÍA MORENO                          ,GLORIETA                ,DEL   ,PRESIDENTE GARCIA MORENO                        ,635300,AVENIDA DE LA REINA VICTORIA                                   ,AVENIDA                 ,DE LA ,REINA VICTORIA                                  ,43949998,447770243,3º42'53.0'' W   ,40º26'45.21'' N 
608500,GLORIETA DEL PRESIDENTE GARCÍA MORENO                          ,GLORIETA                ,DEL   ,PRESIDENTE GARCIA MORENO                        ,767501,AVENIDA DEL VALLE                                              ,AVENIDA                 ,DEL   ,VALLE                                           ,43949361,447767144,3º42'53.24'' W  ,40º26'44.21'' N 
613400,GLORIETA DEL PUENTE DE SEGOVIA                                 ,GLORIETA                ,DEL   ,PUENTE DE SEGOVIA                               ,270500,PASEO DE LA ERMITA DEL SANTO                                   ,PASEO                   ,DE LA ,ERMITA DEL SANTO                                ,43866239,447417267,3º43'27.34'' W  ,40º24'50.55'' N 
613400,GLORIETA DEL PUENTE DE SEGOVIA                                 ,GLORIETA                ,DEL   ,PUENTE DE SEGOVIA                               ,285200,PASEO DE EXTREMADURA                                           ,PASEO                   ,DE    ,EXTREMADURA                                     ,43860610,447417322,3º43'29.72'' W  ,40º24'50.53'' N 
613400,GLORIETA DEL PUENTE DE SEGOVIA                                 ,GLORIETA                ,DEL   ,PUENTE DE SEGOVIA                               ,468400,AVENIDA DEL MANZANARES                                         ,AVENIDA                 ,DEL   ,MANZANARES                                      ,43868105,447417222,3º43'26.54'' W  ,40º24'50.52'' N 
613400,GLORIETA DEL PUENTE DE SEGOVIA                                 ,GLORIETA                ,DEL   ,PUENTE DE SEGOVIA                               ,486000,PASEO DEL MARQUÉS DE MONISTROL                                 ,PASEO                   ,DEL   ,MARQUES DE MONISTROL                            ,43866239,447417267,3º43'27.34'' W  ,40º24'50.55'' N 
613400,GLORIETA DEL PUENTE DE SEGOVIA                                 ,GLORIETA                ,DEL   ,PUENTE DE SEGOVIA                               ,652100,CALLE DE SAAVEDRA FAJARDO                                      ,CALLE                   ,DE    ,SAAVEDRA FAJARDO                                ,43860610,447417322,3º43'29.72'' W  ,40º24'50.53'' N 
614700,GLORIETA DE LA PUERTA DE HIERRO                                ,GLORIETA                ,DE LA ,PUERTA DE HIERRO                                ,563600,CARRETERA DE EL PARDO                                          ,CARRETERA               ,DE    ,EL PARDO                                        ,43720785,447817343,3º44'30.46'' W  ,40º26'59.91'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,547300,PASEO DE LOS OLMOS                                             ,PASEO                   ,DE LOS,OLMOS                                           ,43975602,447332163,3º42'40.63'' W  ,40º24'23.24'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,559500,CALLE DE LA PALOMA                                             ,CALLE                   ,DE LA ,PALOMA                                          ,43973208,447337814,3º42'41.67'' W  ,40º24'25.05'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,602500,PASEO DE LOS PONTONES                                          ,PASEO                   ,DE LOS,PONTONES                                        ,43968285,447334898,3º42'43.74'' W  ,40º24'24.09'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,706400,RONDA DE SEGOVIA                                               ,RONDA                   ,DE    ,SEGOVIA                                         ,43968285,447334898,3º42'43.74'' W  ,40º24'24.09'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,743600,CALLE DE TOLEDO                                                ,CALLE                   ,DE    ,TOLEDO                                          ,43971042,447330720,3º42'42.54'' W  ,40º24'22.74'' N 
615000,GLORIETA DE LA PUERTA DE TOLEDO                                ,GLORIETA                ,DE LA ,PUERTA DE TOLEDO                                ,743800,RONDA DE TOLEDO                                                ,RONDA                   ,DE    ,TOLEDO                                          ,43975602,447332163,3º42'40.63'' W  ,40º24'23.24'' N 
