Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
697175,GLORIETA DE SANTA MARÍA DE LA CABEZA                           ,GLORIETA                ,DE    ,SANTA MARIA DE LA CABEZA                        ,296000,CALLE DEL FERROCARRIL                                          ,CALLE                   ,DEL   ,FERROCARRIL                                     ,44079335,447270751,3º41'56.43'' W  ,40º24'3.59'' N  
697175,GLORIETA DE SANTA MARÍA DE LA CABEZA                           ,GLORIETA                ,DE    ,SANTA MARIA DE LA CABEZA                        ,917,PASEO DE JUAN ANTONIO VALLEJO-NÁJERA BOTAS                     ,PASEO                   ,DE    ,JUAN ANTONIO VALLEJO-NAJERA BOTAS               ,44071657,447271077,3º41'59.66'' W  ,40º24'3.67'' N  
697175,GLORIETA DE SANTA MARÍA DE LA CABEZA                           ,GLORIETA                ,DE    ,SANTA MARIA DE LA CABEZA                        ,697200,PASEO DE SANTA MARÍA DE LA CABEZA                              ,PASEO                   ,DE    ,SANTA MARIA DE LA CABEZA                        ,44073781,447267582,3º41'58.76'' W  ,40º24'2.54'' N  
768000,GLORIETA DE VALLE DE ORO                                       ,GLORIETA                ,DE    ,VALLE DE ORO                                    ,241170,CALLE DEL DOCTOR ESPINA                                        ,CALLE                   ,DEL   ,DOCTOR ESPINA                                   ,43819545,447117598,3º43'46.06'' W  ,40º23'13.23'' N 
768000,GLORIETA DE VALLE DE ORO                                       ,GLORIETA                ,DE    ,VALLE DE ORO                                    ,332700,CALLE DEL GENERAL RICARDOS                                     ,CALLE                   ,DEL   ,GENERAL RICARDOS                                ,43803570,447137122,3º43'52.92'' W  ,40º23'19.51'' N 
768000,GLORIETA DE VALLE DE ORO                                       ,GLORIETA                ,DE    ,VALLE DE ORO                                    ,412400,CALLE DE JUAN FRANCISCO                                        ,CALLE                   ,DE    ,JUAN FRANCISCO                                  ,43808827,447130275,3º43'50.69'' W  ,40º23'17.32'' N 
768000,GLORIETA DE VALLE DE ORO                                       ,GLORIETA                ,DE    ,VALLE DE ORO                                    ,549100,AVENIDA DE OPORTO                                              ,AVENIDA                 ,DE    ,OPORTO                                          ,43819545,447117598,3º43'46.06'' W  ,40º23'13.23'' N 
768000,GLORIETA DE VALLE DE ORO                                       ,GLORIETA                ,DE    ,VALLE DE ORO                                    ,767900,CALLE DE VALLE DE ORO                                          ,CALLE                   ,DE    ,VALLE DE ORO                                    ,43808210,447131602,3º43'50.95'' W  ,40º23'17.74'' N 
31000038,GLORIETA DEL PUERTO DE LOS CARROS                              ,GLORIETA                ,DEL   ,PUERTO DE LOS CARROS                            ,31000039,CALLE DEL MISTRAL                                              ,CALLE                   ,DEL   ,MISTRAL                                         ,45003532,448024202,3º35'26.52'' W  ,40º28'10.11'' N 
31000041,GLORIETA DE LA PLAYA DE SAN LORENZO                            ,GLORIETA                ,DE LA ,PLAYA DE SAN LORENZO                            ,31000037,CALLE DE LA PLAYA DE BARLOVENTO                                ,CALLE                   ,DE LA ,PLAYA DE BARLOVENTO                             ,45008111,448038517,3º35'24.6'' W   ,40º28'14.76'' N 
31003573,GLORIETA DE FRANCISCO JAREÑO                                   ,GLORIETA                ,DE    ,FRANCISCO JAREÑO                                ,31001739,AVENIDA DE SECUNDINO ZUAZO                                     ,AVENIDA                 ,DE    ,SECUNDINO ZUAZO                                 ,44787574,448315016,3º36'59.06'' W  ,40º29'43.94'' N 
31003574,GLORIETA DE LUIS LACASA                                        ,GLORIETA                ,DE    ,LUIS LACASA                                     ,31001595,AVENIDA DE JUAN ANTONIO SAMARANCH                              ,AVENIDA                 ,DE    ,JUAN ANTONIO SAMARANCH                          ,44787905,448298452,3º36'58.88'' W  ,40º29'38.56'' N 
31003575,GLORIETA DE LUIS GARCÍA BERLANGA                               ,GLORIETA                ,DE    ,LUIS GARCIA BERLANGA                            ,31001592,AVENIDA DE FRANCISCO JAVIER SÁENZ DE OIZA                      ,AVENIDA                 ,DE    ,FRANCISCO JAVIER SAENZ DE OIZA                  ,44851622,448372478,3º36'32.04'' W  ,40º30'2.74'' N  
31003577,GLORIETA DE FERNANDO ARBÓS                                     ,GLORIETA                ,DE    ,FERNANDO ARBOS                                  ,31001739,AVENIDA DE SECUNDINO ZUAZO                                     ,AVENIDA                 ,DE    ,SECUNDINO ZUAZO                                 ,44880257,448307562,3º36'19.66'' W  ,40º29'41.75'' N 
31003579,GLORIETA DE JOSÉ BENITO DE CHURRIGUERA                         ,GLORIETA                ,DE    ,JOSE BENITO DE CHURRIGUERA                      ,31001595,AVENIDA DE JUAN ANTONIO SAMARANCH                              ,AVENIDA                 ,DE    ,JUAN ANTONIO SAMARANCH                          ,44834013,448266990,3º36'39.21'' W  ,40º29'28.48'' N 
31003580,GLORIETA DE JAVIER BELLOSILLO                                  ,GLORIETA                ,DE    ,JAVIER BELLOSILLO                               ,31001595,AVENIDA DE JUAN ANTONIO SAMARANCH                              ,AVENIDA                 ,DE    ,JUAN ANTONIO SAMARANCH                          ,44851820,448266989,3º36'31.65'' W  ,40º29'28.52'' N 
31003581,GLORIETA DE JOSÉ ANTONIO JIMÉNEZ SALAS                         ,GLORIETA                ,DE    ,JOSE ANTONIO JIMENEZ SALAS                      ,31001595,AVENIDA DE JUAN ANTONIO SAMARANCH                              ,AVENIDA                 ,DE    ,JUAN ANTONIO SAMARANCH                          ,44819509,448232109,3º36'45.26'' W  ,40º29'17.13'' N 
31003582,GLORIETA DE ANTONIO VALDÉS GONZÁLEZ-ROLDÁN                     ,GLORIETA                ,DE    ,ANTONIO VALDES GONZALEZ-ROLDAN                  ,31001744,AVENIDA DE MANUEL FRAGA IRIBARNE                               ,AVENIDA                 ,DE    ,MANUEL FRAGA IRIBARNE                           ,44854320,448228037,3º36'30.47'' W  ,40º29'15.88'' N 
31003583,GLORIETA DE LEOPOLDO TORRES BALBÁS                             ,GLORIETA                ,DE    ,LEOPOLDO TORRES BALBAS                          ,31001594,CALLE DE JULIO CANO LASSO                                      ,CALLE                   ,DE    ,JULIO CANO LASSO                                ,44881991,448228288,3º36'18.7'' W   ,40º29'16.04'' N 
31003584,GLORIETA DE JOSÉ MARÍA GARCÍA DE PAREDES                       ,GLORIETA                ,DE    ,JOSE MARIA GARCIA DE PAREDES                    ,31001596,AVENIDA DE JOSÉ ANTONIO CORRALES                               ,AVENIDA                 ,DE    ,JOSE ANTONIO CORRALES                           ,44793495,448200899,3º36'56.21'' W  ,40º29'6.95'' N  
31003585,GLORIETA DE RICARDO DE BASTIDA                                 ,GLORIETA                ,DE    ,RICARDO DE BASTIDA                              ,31001744,AVENIDA DE MANUEL FRAGA IRIBARNE                               ,AVENIDA                 ,DE    ,MANUEL FRAGA IRIBARNE                           ,44854329,448199634,3º36'30.39'' W  ,40º29'6.67'' N  
31003586,GLORIETA DE JULIÁN OTAMENDI                                    ,GLORIETA                ,DE    ,JULIAN OTAMENDI                                 ,31001594,CALLE DE JULIO CANO LASSO                                      ,CALLE                   ,DE    ,JULIO CANO LASSO                                ,44887870,448198505,3º36'16.11'' W  ,40º29'6.39'' N  
31003592,GLORIETA DE LUIS CUBILLO                                       ,GLORIETA                ,DE    ,LUIS CUBILLO                                    ,31001902,CALLE DE EMMA PENELLA                                          ,CALLE                   ,DE    ,EMMA PENELLA                                    ,44683143,448153791,3º37'42.92'' W  ,40º28'51.43'' N 
31004081,GLORIETA DE CIRILO MARTÍN MARTÍN                               ,GLORIETA                ,DE    ,CIRILO MARTIN MARTIN                            ,369600,CARRETERA DE HÚMERA                                            ,CARRETERA               ,DE    ,HUMERA                                          ,43390886,447883842,3º46'50.75'' W  ,40º27'20.55'' N 
