Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,2792,CALLE DE CASTIELLO DE JACA                                     ,CALLE                   ,DE    ,CASTIELLO DE JACA                               ,44260746,448479753,3º40'43.38'' W  ,40º30'36.13'' N 
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,1837,CALLE DE FEDERICO MOMPOU                                       ,CALLE                   ,DE    ,FEDERICO MOMPOU                                 ,44260732,448479748,3º40'43.43'' W  ,40º30'36.13'' N 
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,87100,CALLE DE MARÍA TUBAU                                           ,CALLE                   ,DE    ,MARIA TUBAU                                     ,44290433,448494484,3º40'30.85'' W  ,40º30'40.98'' N 
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,2793,PASEO DE TIERRA DE MELIDE                                      ,PASEO                   ,DE    ,TIERRA DE MELIDE                                ,44320997,448510385,3º40'17.9'' W   ,40º30'46.21'' N 
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,2794,CALLE DE PORTOMARÍN                                            ,CALLE                   ,DE    ,PORTOMARIN                                      ,44322285,448530840,3º40'17.42'' W  ,40º30'52.83'' N 
127,CALLE DE ISABEL COLBRAND                                       ,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,313425,CARRETERA DE FUENCARRAL A ALCOBENDAS                           ,CARRETERA               ,DE    ,FUENCARRAL A ALCOBENDAS                         ,44322976,448542753,3º40'17.16'' W  ,40º30'56.72'' N 
